N-term, time, date, conId, Current Price, Changes in Price (%), Time Average Bid, Time Average Ask, Last Bid Price, Last Ask Price, Bid-Ask Spread, Average Bid-Ask Spread, Current Volume, Average Volume, Volume Condition, Bid-Ask Spread Condition, Last Traded Condition, Order
0,09:30:00,20230130,568735919,129.96875,-0.04806536890170632,130,130,129.9375,129.96875,0.03125,0,6869,0,1,-1,-1,
1,09:40:00,20230130,568735919,130.03125,0,129.96875,129.96875,130,130.03125,0.03125,0.03125,3148,6869,-1,0,1,
2,09:50:00,20230130,568735919,129.96875,-0.04806536890170632,129.9375,129.9375,129.9375,129.96875,0.03125,0.03125,5286,5008.5,0,0,1,
3,10:00:00,20230130,568735919,129.8125,-0.1682287911559721,129.84375,129.84375,129.78125,129.8125,0.03125,0.03125,4612,5101,0,0,-1,
4,10:10:00,20230130,568735919,129.75,-0.21629416005767843,129.8125,129.8125,129.75,129.78125,0.03125,0.03125,5038,4978.75,0,0,-1,
5,10:20:00,20230130,568735919,129.78125,-0.19226147560682527,129.75,129.75,129.78125,129.8125,0.03125,0.03125,3678,4990.6,0,0,1,
6,10:30:00,20230130,568735919,129.8125,-0.1682287911559721,129.75,129.75,129.78125,129.8125,0.03125,0.03125,4955,4771.83333333333,0,0,1,
7,10:40:00,20230130,568735919,129.84375,-0.14419610670511895,129.875,129.875,129.8125,129.84375,0.03125,0.03125,4365,4798,0,0,-1,
8,10:50:00,20230130,568735919,129.84375,-0.14419610670511895,129.84375,129.84375,129.84375,129.875,0.03125,0.03125,2938,4743.875,0,0,0,
9,11:00:00,20230130,568735919,129.75,-0.21629416005767843,129.78125,129.78125,129.75,129.78125,0.03125,0.03125,2206,4543.22222222222,-1,0,-1,
10,11:10:00,20230130,568735919,129.6875,-0.26435952895938475,129.71875,129.71875,129.65625,129.6875,0.03125,0.03125,3152,4309.5,0,0,-1,
11,11:20:00,20230130,568735919,129.6875,-0.26435952895938475,129.65625,129.65625,129.6875,129.71875,0.03125,0.03125,2836,4204.27272727273,0,0,1,
12,11:30:00,20230130,568735919,129.6875,-0.26435952895938475,129.65625,129.65625,129.6875,129.71875,0.03125,0.03125,1153,4090.25,-1,0,1,
