N-term, time, date, conId, Current Price, Changes in Price (%), Time Average Bid, Time Average Ask, Last Bid Price, Last Ask Price, Bid-Ask Spread, Average Bid-Ask Spread, Current Volume, Average Volume, Volume Condition, Bid-Ask Spread Condition, Last Traded Condition, Order
0,09:30:00,20230130,99831145,220.77,0.3545615709804996,219.595,220.042,220.62,220.88,0.2599999999999909,0,23308,0,1,-1,1,
1,09:40:00,20230130,99831145,221.83,0.8364016546206662,221.093,221.417,221.78,222.12,0.3400000000000034,0.2599999999999909,25065,23308,0,0,1,
2,09:50:00,20230130,99831145,220.97,0.4454747943088275,221.283,221.571,220.86,221.11,0.25,0.29999999999999716,19212,24186.5,0,0,-1,
3,10:00:00,20230130,99831145,220.81,0.3727442156461626,221.122,221.353,220.81,221.05,0.2400000000000091,0.28333333333333144,25842,22528.3333333333,0,0,-1,
4,10:10:00,20230130,99831145,220.52,0.24092004182008322,220.683,220.912,220.38,220.62,0.2400000000000091,0.27250000000000085,18927,23356.75,0,0,-1,
5,10:20:00,20230130,99831145,219.98,-0.004545661166425441,220.114,220.331,219.9,220.06,0.1599999999999966,0.2660000000000025,27880,22470.8,0,0,-1,
6,10:30:00,20230130,99831145,219.09,-0.40910950497750154,219.4,219.601,219.08,219.24,0.1599999999999966,0.24833333333333485,45042,23372.3333333333,1,0,-1,
7,10:40:00,20230130,99831145,218.8,-0.5409336788035809,218.524,218.72,218.78,218.94,0.1599999999999966,0.23571428571428654,29494,26468,0,0,1,
8,10:50:00,20230130,99831145,219.4,-0.26819400881858424,218.848,219.023,219.4,219.52,0.12000000000000455,0.22625000000000028,15768,26846.25,0,0,1,
9,11:00:00,20230130,99831145,219.15,-0.38183553797900055,219.309,219.504,219.08,219.22,0.13999999999998636,0.2144444444444452,7207,25615.3333333333,-1,0,-1,
10,11:10:00,20230130,99831145,220.25,0.11818719032682891,219.898,220.089,220.2,220.36,0.160000000000025,0.2069999999999993,19039,23774.5,0,0,1,
11,11:20:00,20230130,99831145,220.83,0.38183553797900055,220.447,220.628,220.82,220.95,0.12999999999999545,0.20272727272727437,7114,23344,-1,0,1,
12,11:30:00,20230130,99831145,220.86,0.39547252147825107,220.852,221.012,220.75,220.91,0.1599999999999966,0.1966666666666678,10782,21991.5,-1,0,0,
13,11:40:00,20230130,99831145,220.46,0.2136460748215823,220.723,220.872,220.34,220.53,0.18999999999999773,0.19384615384615464,6496,21129.2307692308,-1,0,-1,
14,11:50:00,20230130,99831145,221.14,0.522751034137905,220.686,220.839,221.07,221.24,0.17000000000001592,0.19357142857142914,21922,20084,0,0,1,
15,12:00:00,20230130,99831145,220.96,0.44092913314241505,220.829,220.967,220.93,221.05,0.12000000000000455,0.19200000000000159,10660,20206.5333333333,0,0,0,
16,12:10:00,20230130,99831145,220.26,0.12273285149324142,220.567,220.718,220.19,220.35,0.1599999999999966,0.18750000000000178,12186,19609.875,0,0,-1,
17,12:20:00,20230130,99831145,220.61,0.2818309923178347,220.371,220.499,220.53,220.68,0.15000000000000568,0.18588235294117794,11084,19173.1764705882,0,0,1,
18,12:30:00,20230130,99831145,220.2,0.09545888449474045,220.414,220.542,220.15,220.25,0.09999999999999432,0.18388888888889057,10484,18723.7777777777,0,0,-1,
19,12:40:00,20230130,99831145,220.15,0.07273057866266493,220.152,220.283,220.02,220.19,0.1699999999999875,0.17947368421052762,5790,18290.1052631578,-1,0,-1,
20,12:50:00,20230130,99831145,219.76,-0.10455020682759134,219.838,219.968,219.75,219.91,0.1599999999999966,0.1790000000000006,8828,17665.0999999999,-1,0,-1,
21,13:00:00,20230130,99831145,219.46,-0.24092004182008322,219.369,219.534,219.38,219.55,0.17000000000001592,0.17809523809523853,8347,17244.2857142856,-1,0,0,
22,13:10:00,20230130,99831145,220.13,0.06363925632982698,219.782,219.929,220.05,220.17,0.11999999999997613,0.17772727272727384,9506,16839.8636363635,0,0,1,
23,13:20:00,20230130,99831145,220.09,0.04545661166416397,220.063,220.191,220,220.13,0.12999999999999545,0.17521739130434785,6524,16520.9999999999,-1,0,0,
24,13:30:00,20230130,99831145,219.88,-0.0500022728305894,219.7,219.831,219.8,219.94,0.13999999999998636,0.17333333333333317,6457,16104.4583333332,-1,0,1,
25,13:40:00,20230130,99831145,219.82,-0.07727623982909038,219.719,219.85,219.72,219.82,0.09999999999999432,0.17199999999999932,8972,15718.5599999999,0,0,0,
26,13:50:00,20230130,99831145,219.82,-0.07727623982909038,219.719,219.853,219.71,219.86,0.15000000000000568,0.16923076923076838,12963,15459.0769230768,0,0,0,
27,14:00:00,20230130,99831145,219.58,-0.1863721078230813,219.789,219.919,219.5,219.63,0.12999999999999545,0.1685185185185179,18186,15366.6296296295,0,0,-1,
28,14:10:00,20230130,99831145,219.03,-0.4363834719760025,219.226,219.355,218.98,219.12,0.14000000000001478,0.16714285714285637,5069,15467.3214285713,-1,0,-1,
29,14:20:00,20230130,99831145,218.72,-0.5772989681349199,219.012,219.116,218.74,218.86,0.12000000000000455,0.16620689655172388,13923,15108.7586206895,0,0,-1,
30,14:30:00,20230130,99831145,219.1,-0.404563843811089,218.858,218.993,219.01,219.14,0.12999999999999545,0.16466666666666657,7770,15069.2333333332,0,0,1,
31,14:40:00,20230130,99831145,218.72,-0.5772989681349199,218.825,218.958,218.66,218.76,0.09999999999999432,0.16354838709677394,10398,14833.7741935483,0,0,-1,
32,14:50:00,20230130,99831145,219.24,-0.34092458748124915,218.9,218.98,219.19,219.27,0.0800000000000125,0.16156249999999958,24668,14695.1562499999,1,1,1,BUY
33,15:00:00,20230130,99831145,219.22,-0.3500159098140871,219.342,219.445,219.13,219.29,0.1599999999999966,0.15909090909090906,16931,14997.3636363635,0,0,-1,
34,15:10:00,20230130,99831145,219.1,-0.404563843811089,219.098,219.211,219.08,219.18,0.09999999999999432,0.15911764705882342,11540,15054.2352941175,0,0,0,
35,15:20:00,20230130,99831145,218.73,-0.5727533069685073,218.858,218.97,218.68,218.76,0.07999999999998408,0.15742857142857117,13419,14953.8285714284,0,0,-1,
36,15:30:00,20230130,99831145,219.2,-0.359107232146925,218.964,219.071,219.17,219.26,0.09000000000000341,0.1552777777777771,29462,14911.1944444443,1,0,1,
37,15:40:00,20230130,99831145,218.54,-0.6591208691304228,218.709,218.789,218.54,218.66,0.12000000000000455,0.15351351351351294,25868,15304.4594594593,1,0,-1,
38,15:50:00,20230130,99831145,218.01,-0.9000409109505061,218.166,218.225,218.01,218.09,0.0800000000000125,0.15263157894736798,98676,15582.4473684209,1,0,-1,
39,09:30:00,20230131,99831145,219.1,-0.404563843811089,218.637,219.071,218.96,219.21,0.25,0.15076923076923068,45303,17713.0512820511,1,-1,1,
40,09:40:00,20230131,99831145,219.6,-0.17728078549025628,219.154,219.469,219.38,219.68,0.30000000000001137,0.15324999999999991,18746,18402.7999999998,0,-1,1,
41,09:50:00,20230131,99831145,219.87,-0.054547933997001925,219.762,220.032,219.54,220.02,0.4800000000000182,0.15682926829268312,31664,18411.1707317071,1,-1,0,
42,10:00:00,20230131,99831145,220.01,0.00909132233282504,220.128,220.454,219.77,220.08,0.3100000000000023,0.16452380952381015,8819,18726.7142857141,-1,-1,-1,SELL
43,10:10:00,20230131,99831145,220.76,0.35001590981407416,220.309,220.57,220.68,220.92,0.23999999999998067,0.16790697674418673,12010,18496.3023255812,0,0,1,
44,10:20:00,20230131,99831145,220.31,0.14546115732532985,220.418,220.636,220.31,220.52,0.21000000000000796,0.16954545454545478,17181,18348.8863636362,0,0,-1,
45,10:30:00,20230131,99831145,220.73,0.3363789263148237,220.556,220.758,220.8,220.92,0.11999999999997613,0.17044444444444484,5506,18322.9333333332,-1,0,0,
46,10:40:00,20230131,99831145,221.23,0.5636619846356564,220.964,221.146,221.16,221.38,0.21999999999999886,0.1693478260869564,8128,18044.304347826,-1,0,1,
47,10:50:00,20230131,99831145,221.19,0.5454793399699934,221.191,221.364,221.16,221.28,0.12000000000000455,0.17042553191489346,7234,17833.3191489361,-1,0,-1,
48,11:00:00,20230131,99831145,221.51,0.6909404972953233,221.335,221.511,221.46,221.57,0.10999999999998522,0.16937499999999994,11952,17612.4999999999,0,0,0,
49,11:10:00,20230131,99831145,220.67,0.3091049593163227,220.84,221.027,220.56,220.77,0.21000000000000796,0.16816326530612208,7971,17496.9795918366,-1,0,-1,
50,11:20:00,20230131,99831145,220.47,0.21819173598799482,220.467,220.65,220.37,220.57,0.19999999999998863,0.1689999999999998,9403,17306.4599999999,0,0,0,
51,11:30:00,20230131,99831145,220.55,0.2545570253193337,220.554,220.732,220.4,220.62,0.21999999999999886,0.16960784313725447,8048,17151.4901960783,-1,0,-1,
52,11:40:00,20230131,99831145,220.93,0.4272921496431646,220.773,220.948,220.83,221.02,0.18999999999999773,0.17057692307692263,8920,16976.4230769229,0,0,0,
53,11:50:00,20230131,99831145,220.96,0.44092913314241505,220.961,221.143,220.85,221.06,0.21000000000000796,0.1709433962264146,9177,16824.4150943394,0,0,-1,
54,12:00:00,20230131,99831145,220.9,0.41365516614391407,220.512,220.722,220.82,220.98,0.1599999999999966,0.17166666666666633,5964,16682.7962962961,-1,0,1,
55,12:10:00,20230131,99831145,221.34,0.6136642574662459,220.901,221.071,221.26,221.43,0.17000000000001592,0.17145454545454505,13514,16487.9090909089,0,0,1,
56,12:20:00,20230131,99831145,221.26,0.5772989681349069,221.136,221.3,221.13,221.29,0.1599999999999966,0.17142857142857132,9251,16434.8035714284,0,0,0,
57,12:30:00,20230131,99831145,221.08,0.4954770671394169,221.115,221.265,221.01,221.17,0.1599999999999966,0.17122807017543842,7601,16308.7719298244,-1,0,-1,
58,12:40:00,20230131,99831145,221.18,0.5409336788035809,221.237,221.361,221.14,221.31,0.17000000000001592,0.17103448275862046,8455,16158.6379310343,0,0,-1,
59,12:50:00,20230131,99831145,221.29,0.5909359516341574,221.213,221.356,221.25,221.35,0.09999999999999432,0.1710169491525424,9938,16028.06779661,0,0,0,
60,13:00:00,20230131,99831145,221.68,0.7682167371244137,221.467,221.608,221.6,221.77,0.17000000000001592,0.16983333333333325,16803,15926.5666666665,0,0,1,
61,13:10:00,20230131,99831145,221.83,0.8364016546206662,221.677,221.843,221.76,221.9,0.14000000000001478,0.16983606557377068,9341,15940.9344262293,0,0,0,
62,13:20:00,20230131,99831145,221.4,0.6409382244647468,221.437,221.6,221.39,221.52,0.13000000000002387,0.16935483870967785,6179,15834.4838709675,-1,0,-1,
63,13:30:00,20230131,99831145,221.44,0.6591208691304098,221.518,221.659,221.38,221.5,0.12000000000000455,0.16873015873015954,7066,15681.222222222,-1,0,-1,
64,13:40:00,20230131,99831145,221.6,0.7318514477930748,221.521,221.669,221.48,221.62,0.14000000000001478,0.16796875000000086,5803,15546.6093749998,-1,0,0,
65,13:50:00,20230131,99831145,221.88,0.8591299604527416,221.747,221.885,221.88,222,0.12000000000000455,0.16753846153846264,6892,15396.7076923075,-1,0,0,
66,14:00:00,20230131,99831145,222,0.9136778944497435,221.884,222.029,221.87,222.06,0.18999999999999773,0.16681818181818298,10111,15267.8484848483,0,0,0,
67,14:10:00,20230131,99831145,221.41,0.6454838856311593,221.688,221.825,221.41,221.53,0.12000000000000455,0.16716417910447873,12177,15190.8805970147,0,0,-1,
68,14:20:00,20230131,99831145,221.33,0.6091185962998333,221.31,221.443,221.24,221.41,0.1699999999999875,0.16647058823529529,6808,15146.5588235292,-1,0,0,
69,14:30:00,20230131,99831145,221.28,0.5863902904677449,221.19,221.322,221.26,221.35,0.09000000000000341,0.16652173913043575,6980,15025.7101449273,-1,0,0,
70,14:40:00,20230131,99831145,221.31,0.6000272739669954,221.258,221.396,221.23,221.35,0.12000000000000455,0.16542857142857242,13836,14910.7714285712,0,0,0,
71,14:50:00,20230131,99831145,221.19,0.5454793399699934,221.183,221.316,221.13,221.25,0.12000000000000455,0.16478873239436725,14440,14895.6338028167,0,0,0,
72,15:00:00,20230131,99831145,221.23,0.5636619846356564,221.346,221.475,221.17,221.3,0.13000000000002387,0.16416666666666777,12685,14889.3055555554,0,0,-1,
73,15:10:00,20230131,99831145,220.76,0.35001590981407416,221.006,221.139,220.69,220.82,0.12999999999999545,0.1636986301369877,7013,14859.1095890409,-1,0,-1,
74,15:20:00,20230131,99831145,220.92,0.42274648847673907,220.741,220.867,220.92,221.02,0.10000000000002274,0.16324324324324457,10200,14753.0810810809,0,0,1,
75,15:30:00,20230131,99831145,221.56,0.7136688031274118,221.319,221.423,221.55,221.63,0.07999999999998408,0.1624000000000016,15162,14692.3733333332,0,1,1,
76,15:40:00,20230131,99831145,222.37,1.0818673576071618,221.97,222.048,222.3,222.39,0.08999999999997499,0.16131578947368558,30918,14698.5526315788,1,0,1,
77,15:50:00,20230131,99831145,223.42,1.5591617800809028,223.057,223.131,223.39,223.42,0.030000000000001137,0.16038961038961141,190273,14909.1948051947,1,1,1,BUY
78,09:30:00,20230201,99831145,223.14,1.431883267421236,222.317,222.699,223.01,223.26,0.25,0.15871794871794975,28178,17157.4487179486,1,-1,1,
79,09:40:00,20230201,99831145,222.65,1.2091458702668287,222.52,222.756,222.53,222.75,0.21999999999999886,0.15987341772152,25956,17296.9493670885,1,0,0,
80,09:50:00,20230201,99831145,223.57,1.6273466975771553,223.139,223.336,223.47,223.85,0.37999999999999545,0.16062500000000096,47688,17405.1874999999,1,-1,1,
81,10:00:00,20230201,99831145,222.97,1.3546070275921587,222.984,223.314,222.89,223.1,0.21000000000000796,0.16333333333333425,26724,17779.049382716,1,0,-1,
82,10:10:00,20230201,99831145,222.72,1.2409654984317422,222.724,222.92,222.61,222.8,0.18999999999999773,0.16390243902439122,18394,17888.1341463414,0,0,-1,
83,10:20:00,20230201,99831145,222.46,1.1227783081049132,222.54,222.731,222.42,222.59,0.17000000000001592,0.16421686746988046,20657,17894.2289156626,0,0,-1,
84,10:30:00,20230201,99831145,222.46,1.1227783081049132,222.697,222.864,222.38,222.54,0.1599999999999966,0.1642857142857154,25410,17927.119047619,0,0,-1,
85,10:40:00,20230201,99831145,222.57,1.1727805809354899,222.505,222.656,222.54,222.65,0.11000000000001364,0.1642352941176481,42822,18015.1529411764,1,0,0,
86,10:50:00,20230201,99831145,221.99,0.909132233283331,222.119,222.263,221.95,222.03,0.0800000000000125,0.16360465116279188,29158,18303.6046511627,1,1,-1,
87,11:00:00,20230201,99831145,221.65,0.7545797536251632,221.858,221.977,221.59,221.73,0.13999999999998636,0.16264367816092085,23094,18428.3678160919,0,0,-1,
88,11:10:00,20230201,99831145,221.3,0.5954816128005829,221.456,221.561,221.22,221.37,0.15000000000000568,0.16238636363636477,18951,18481.3863636363,0,0,-1,
89,11:20:00,20230201,99831145,221.58,0.7227601254602497,221.653,221.761,221.52,221.67,0.14999999999997726,0.16224719101123714,18848,18486.6629213483,0,0,-1,
90,11:30:00,20230201,99831145,222.62,1.1955088867675783,222.183,222.277,222.57,222.67,0.09999999999999432,0.16211111111111204,24071,18490.6777777778,0,0,1,
91,11:40:00,20230201,99831145,222.74,1.2500568207645801,222.604,222.697,222.67,222.74,0.0700000000000216,0.16142857142857228,17132,18552,0,1,1,
92,11:50:00,20230201,99831145,222.73,1.2455111595981547,222.746,222.836,222.69,222.84,0.15000000000000568,0.16043478260869673,22257,18536.5652173913,0,0,-1,
93,12:00:00,20230201,99831145,222.92,1.3318787217600703,222.756,222.852,222.89,222.96,0.0700000000000216,0.16032258064516242,15991,18576.5698924731,0,1,1,
94,12:10:00,20230201,99831145,222.91,1.3273330605936577,223.025,223.12,222.9,222.99,0.09000000000000341,0.1593617021276609,23470,18549.0638297872,0,0,-1,
95,12:20:00,20230201,99831145,223.3,1.5046138460839138,223.016,223.101,223.27,223.33,0.060000000000002274,0.15863157894736976,21813,18600.8631578947,0,1,1,
96,12:30:00,20230201,99831145,223.43,1.5637074412473282,223.227,223.306,223.38,223.47,0.09000000000000341,0.15760416666666802,28323,18634.3229166666,1,0,1,
97,12:40:00,20230201,99831145,223.21,1.4637028955861624,223.388,223.465,223.17,223.25,0.0800000000000125,0.15690721649484674,25650,18734.2061855669,0,0,-1,
98,12:50:00,20230201,99831145,223.02,1.377335333424247,223.124,223.208,222.99,223.06,0.06999999999999318,0.15612244897959332,27513,18804.775510204,0,1,-1,
99,13:00:00,20230201,99831145,223.02,1.377335333424247,222.911,223.001,223.02,223.1,0.07999999999998408,0.15525252525252664,16977,18892.7373737373,0,0,1,
100,13:10:00,20230201,99831145,222.36,1.0773216964407493,222.729,222.829,222.32,222.45,0.12999999999999545,0.1545000000000012,17042,18873.5799999999,0,0,-1,
101,13:20:00,20230201,99831145,222.96,1.3500613664257461,222.601,222.696,222.92,223,0.0800000000000125,0.1542574257425754,41563,18855.4455445544,1,0,1,
102,13:30:00,20230201,99831145,223,1.3682440110914091,223.001,223.08,222.97,223,0.030000000000001137,0.15352941176470714,42876,19078.0686274509,1,1,-1,
103,13:40:00,20230201,99831145,222.86,1.304604754761582,222.992,223.069,222.83,222.91,0.07999999999998408,0.1523300970873799,48246,19309.1165048543,1,0,-1,
104,13:50:00,20230201,99831145,222.5,1.1409609527705762,222.695,222.792,222.13,222.83,0.700000000000017,0.15163461538461648,36110,19587.3557692307,1,-1,-1,
105,14:00:00,20230201,99831145,223.89,1.772807854902485,222.986,223.209,223.75,223.87,0.12000000000000455,0.15685714285714408,106535,19744.7142857142,1,0,1,
