N-term, time, date, conId, Current Price, Changes in Price (%), Time Average Bid, Time Average Ask, Last Bid Price, Last Ask Price, Bid-Ask Spread, Average Bid-Ask Spread, Current Volume, Average Volume, Volume Condition, Bid-Ask Spread Condition, Last Traded Condition, Order
53,12:40:00,20230130,578106878,610,-2.086677367576244,604.4,617.5,572.5,573.5,1,8.481132075471697,0,0.830188679245281,-1,1,0,
54,12:50:00,20230130,578106878,610,-2.086677367576244,605,617.5,572.5,573.5,1,8.342592592592592,0,0.814814814814813,-1,1,0,
55,13:00:00,20230130,578106878,610,-2.086677367576244,605,617.5,572.5,573.5,1,8.209090909090907,0,0.799999999999998,-1,1,0,
56,13:10:00,20230130,578106878,614.5,-1.3643659711075442,605.5,617.5,572.5,573.5,1,8.08035714285714,3,0.785714285714284,1,1,0,
57,13:20:00,20230130,578106878,614.5,-1.3643659711075442,607.55,619.25,573.5,574.5,1,7.95614035087719,0,0.82456140350877,-1,1,0,
58,13:30:00,20230130,578106878,613,-1.6051364365971106,608.05,620,573.5,575.5,2,7.8362068965517215,1,0.810344827586205,0,1,0,
59,13:40:00,20230130,578106878,613,-1.6051364365971106,609.95,620,573.5,575.5,2,7.737288135593218,0,0.813559322033896,-1,1,0,
60,13:50:00,20230130,578106878,613,-1.6051364365971106,610,620,573.5,576.5,3,7.641666666666664,0,0.799999999999998,-1,1,0,
61,14:00:00,20230130,578106878,615,-1.2841091492776886,610.45,620,573.5,577,3.5,7.565573770491801,12,0.786885245901638,1,1,0,
62,14:10:00,20230130,578106878,615,-1.2841091492776886,610.9,620,573.5,577,3.5,7.499999999999997,0,0.96774193548387,-1,1,0,
63,14:20:00,20230130,578106878,615,-1.2841091492776886,611,620,573.5,577,3.5,7.436507936507934,0,0.952380952380951,-1,1,0,
64,14:30:00,20230130,578106878,615,-1.2841091492776886,611,621.25,573.5,575.5,2,7.374999999999997,0,0.937499999999999,-1,1,0,
65,14:40:00,20230130,578106878,615,-1.2841091492776886,611,622.5,573.5,575.5,2,7.2923076923076895,0,0.923076923076922,-1,1,0,
66,14:50:00,20230130,578106878,615,-1.2841091492776886,609.8,622.5,572.5,582.5,10,7.212121212121209,0,0.909090909090908,-1,0,0,
67,15:00:00,20230130,578106878,615,-1.2841091492776886,605.5,622.5,572.5,599,26.5,7.2537313432835795,0,0.8955223880597,-1,-1,0,
68,09:30:00,20230131,578106878,615,-1.2841091492776886,615.95,625.3,581,587.5,6.5,7.536764705882351,0,0.882352941176469,-1,0,-1,
69,09:40:00,20230131,578106878,615,-1.2841091492776886,616,622.25,581,587.5,6.5,7.5217391304347805,0,0.869565217391303,-1,0,-1,
70,09:50:00,20230131,578106878,615,-1.2841091492776886,616.4,623.5,580.5,588.5,8,7.5071428571428545,0,0.857142857142856,-1,0,-1,
71,10:00:00,20230131,578106878,612.5,-1.6853932584269662,612.55,620.15,579.5,588.5,9,7.51408450704225,8,0.84507042253521,1,0,-1,
72,10:10:00,20230131,578106878,612.5,-1.6853932584269662,603.1,620.3,579.5,588.5,9,7.534722222222219,0,0.944444444444443,-1,0,0,
73,10:20:00,20230131,578106878,612.5,-1.6853932584269662,606.95,620.8,579.5,588.5,9,7.554794520547942,4,0.931506849315067,1,0,0,
74,10:30:00,20230131,578106878,612.5,-1.6853932584269662,606.7,621,579.5,588.5,9,7.574324324324321,0,0.972972972972971,-1,0,0,
75,10:40:00,20230131,578106878,612.5,-1.6853932584269662,608.4,621,579.5,588.5,9,7.59333333333333,4,0.959999999999998,1,0,0,
76,10:50:00,20230131,578106878,612.5,-1.6853932584269662,610.5,621,579.5,588.5,9,7.611842105263155,0,0.999999999999998,-1,0,0,
77,11:00:00,20230131,578106878,612.5,-1.6853932584269662,610.5,621,579.5,588.5,9,7.629870129870127,0,0.987012987012985,-1,0,0,
78,11:10:00,20230131,578106878,612.5,-1.6853932584269662,605.7,621.1,579.5,588.5,9,7.647435897435893,0,0.974358974358972,-1,0,0,
79,11:20:00,20230131,578106878,612.5,-1.6853932584269662,603,623.5,579.5,585.5,6,7.664556962025312,0,0.962025316455694,-1,0,0,
80,11:30:00,20230131,578106878,614.5,-1.3643659711075442,604.05,623.5,579.5,585.5,6,7.643749999999995,1,0.949999999999998,0,0,0,
81,11:40:00,20230131,578106878,614.5,-1.3643659711075442,614.45,623.5,579.5,585.5,6,7.623456790123453,2,0.950617283950615,1,0,0,
82,11:50:00,20230131,578106878,614.5,-1.3643659711075442,621,623.5,579.5,586.5,7,7.603658536585362,2,0.963414634146339,1,0,-1,
83,12:00:00,20230131,578106878,614.5,-1.3643659711075442,621,623.5,579.5,586.5,7,7.5963855421686715,1,0.975903614457829,0,0,-1,
84,12:10:00,20230131,578106878,614.5,-1.3643659711075442,621,623.5,579.5,587,7.5,7.589285714285711,2,0.976190476190474,1,0,-1,
85,12:20:00,20230131,578106878,614.5,-1.3643659711075442,618.3,623.35,579.5,587.5,8,7.588235294117643,1,0.988235294117645,0,0,-1,
