N-term, time, date, conId, Current Price, Changes in Price (%), Time Average Bid, Time Average Ask, Last Bid Price, Last Ask Price, Bid-Ask Spread, Average Bid-Ask Spread, Current Volume, Average Volume, Volume Condition, Bid-Ask Spread Condition, Last Traded Condition, Order
0,09:30:00,20230130,570640394,109.03125,-0.028653295128939826,109.046875,109.046875,109.0234375,109.03125,0.0078125,0,13498,0,1,-1,-1,
1,09:40:00,20230130,570640394,109.046875,-0.014326647564469913,109.03125,109.03125,109.0390625,109.046875,0.0078125,0.0078125,9595,13498,0,0,1,
2,09:50:00,20230130,570640394,109.0390625,-0.02148997134670487,109.03125,109.03125,109.03125,109.0390625,0.0078125,0.0078125,15218,11546.5,0,0,1,
3,10:00:00,20230130,570640394,109.015625,-0.04297994269340974,109.0078125,109.0078125,109.0078125,109.015625,0.0078125,0.0078125,12756,12770.3333333333,0,0,1,
4,10:10:00,20230130,570640394,109.015625,-0.04297994269340974,109.0234375,109.0234375,109.015625,109.0234375,0.0078125,0.0078125,16859,12766.75,0,0,-1,
5,10:20:00,20230130,570640394,109.015625,-0.04297994269340974,109.015625,109.015625,109.015625,109.0234375,0.0078125,0.0078125,8438,13585.2,0,0,0,
6,10:30:00,20230130,570640394,109.0078125,-0.050143266475644696,109,109,109.0078125,109.015625,0.0078125,0.0078125,6795,12727.3333333333,0,0,1,
7,10:40:00,20230130,570640394,109.0390625,-0.02148997134670487,109.03125,109.03125,109.03125,109.0390625,0.0078125,0.0078125,10798,11879.8571428571,0,0,1,
8,10:50:00,20230130,570640394,109.0546875,-0.007163323782234957,109.0390625,109.0390625,109.0546875,109.0625,0.0078125,0.0078125,5662,11744.625,-1,0,1,
9,11:00:00,20230130,570640394,109.046875,-0.014326647564469913,109.0390625,109.0390625,109.0390625,109.046875,0.0078125,0.0078125,11068,11068.7777777778,0,0,1,
10,11:10:00,20230130,570640394,109.0078125,-0.050143266475644696,109.03125,109.03125,109.0078125,109.015625,0.0078125,0.0078125,7470,11068.7,0,0,-1,
11,11:20:00,20230130,570640394,109.015625,-0.04297994269340974,109.0078125,109.0078125,109.015625,109.0234375,0.0078125,0.0078125,8565,10741.5454545455,0,0,1,
12,11:30:00,20230130,570640394,109.0234375,-0.03581661891117478,109.0078125,109.0078125,109.0234375,109.03125,0.0078125,0.0078125,9739,10560.1666666667,0,0,1,
13,11:40:00,20230130,570640394,109.0390625,-0.02148997134670487,109.03125,109.03125,109.0390625,109.046875,0.0078125,0.0078125,7749,10497,0,0,1,
14,11:50:00,20230130,570640394,109.015625,-0.04297994269340974,109.0234375,109.0234375,109.015625,109.0234375,0.0078125,0.0078125,7559,10300.7142857143,0,0,-1,
15,12:00:00,20230130,570640394,109.046875,-0.014326647564469913,109.03125,109.03125,109.0390625,109.046875,0.0078125,0.0078125,3603,10117.9333333333,-1,0,1,
16,12:10:00,20230130,570640394,109.0390625,-0.02148997134670487,109.03125,109.03125,109.0390625,109.046875,0.0078125,0.0078125,5253,9710.74999999997,0,0,1,
17,12:20:00,20230130,570640394,109.0546875,-0.007163323782234957,109.046875,109.046875,109.0546875,109.0625,0.0078125,0.0078125,10015,9448.52941176468,0,0,1,
18,12:30:00,20230130,570640394,109.0703125,0.007163323782234957,109.0625,109.0625,109.0703125,109.078125,0.0078125,0.0078125,4025,9479.99999999998,-1,0,1,
19,12:40:00,20230130,570640394,109.0625,0,109.0703125,109.0703125,109.0625,109.0703125,0.0078125,0.0078125,3694,9192.89473684209,-1,0,-1,
20,12:50:00,20230130,570640394,109.0703125,0.007163323782234957,109.0703125,109.0703125,109.0703125,109.078125,0.0078125,0.0078125,7050,8917.94999999999,0,0,0,
21,13:00:00,20230130,570640394,109.0703125,0.007163323782234957,109.0703125,109.0703125,109.0625,109.0703125,0.0078125,0.0078125,3662,8828.99999999999,-1,0,0,
22,13:10:00,20230130,570640394,109.0625,0,109.0625,109.0625,109.0546875,109.0625,0.0078125,0.0078125,12694,8594.13636363636,0,0,0,
23,13:20:00,20230130,570640394,109.046875,-0.014326647564469913,109.0546875,109.0546875,109.046875,109.0546875,0.0078125,0.0078125,3670,8772.39130434782,-1,0,-1,
24,13:30:00,20230130,570640394,109.046875,-0.014326647564469913,109.046875,109.046875,109.0390625,109.046875,0.0078125,0.0078125,7561,8559.79166666666,0,0,0,
25,13:40:00,20230130,570640394,109.046875,-0.014326647564469913,109.0390625,109.0390625,109.0390625,109.046875,0.0078125,0.0078125,7644,8519.84,0,0,1,
26,13:50:00,20230130,570640394,109.03125,-0.028653295128939826,109.0390625,109.0390625,109.0234375,109.03125,0.0078125,0.0078125,14842,8486.15384615384,1,0,-1,
27,14:00:00,20230130,570640394,109.0234375,-0.03581661891117478,109.03125,109.03125,109.0234375,109.03125,0.0078125,0.0078125,14881,8721.55555555555,1,0,-1,
28,14:10:00,20230130,570640394,109.0546875,-0.007163323782234957,109.0390625,109.0390625,109.046875,109.0546875,0.0078125,0.0078125,4419,8941.53571428571,-1,0,1,
29,14:20:00,20230130,570640394,109.0390625,-0.02148997134670487,109.0390625,109.0390625,109.0390625,109.046875,0.0078125,0.0078125,5904,8785.58620689655,0,0,0,
30,14:30:00,20230130,570640394,109.046875,-0.014326647564469913,109.0390625,109.0390625,109.046875,109.0546875,0.0078125,0.0078125,11616,8689.53333333333,0,0,1,
31,14:40:00,20230130,570640394,109.0625,0,109.0546875,109.0546875,109.0625,109.0703125,0.0078125,0.0078125,17818,8783.93548387096,1,0,1,
32,14:50:00,20230130,570640394,109.046875,-0.014326647564469913,109.0546875,109.0546875,109.046875,109.0546875,0.0078125,0.0078125,10989,9066.24999999999,0,0,-1,
33,15:00:00,20230130,570640394,109.078125,0.014326647564469913,109.0703125,109.0703125,109.078125,109.0859375,0.0078125,0.0078125,12921,9124.51515151514,0,0,1,
