N-term, time, date, conId, Current Price, Changes in Price (%), Time Average Bid, Time Average Ask, Last Bid Price, Last Ask Price, Bid-Ask Spread, Average Bid-Ask Spread, Current Volume, Average Volume, Volume Condition, Bid-Ask Spread Condition, Last Traded Condition, Order
0,09:30:00,20230130,570640399,102.72265625,-0.007604851895509335,102.7265625,102.7265625,102.71875,102.72265625,0.00390625,0,5170,0,1,-1,-1,
1,09:40:00,20230130,570640399,102.7265625,-0.0038024259477546676,102.72265625,102.72265625,102.72265625,102.7265625,0.00390625,0.00390625,4165,5170,0,0,1,
2,09:50:00,20230130,570640399,102.72265625,-0.007604851895509335,102.72265625,102.72265625,102.72265625,102.7265625,0.00390625,0.00390625,7093,4667.5,1,0,0,
3,10:00:00,20230130,570640399,102.71484375,-0.01520970379101867,102.71484375,102.71484375,102.71484375,102.71875,0.00390625,0.00390625,4704,5476,0,0,0,
4,10:10:00,20230130,570640399,102.72265625,-0.007604851895509335,102.71875,102.71875,102.71875,102.72265625,0.00390625,0.00390625,3780,5283,0,0,1,
5,10:20:00,20230130,570640399,102.71875,-0.011407277843264002,102.71875,102.71875,102.71484375,102.71875,0.00390625,0.00390625,1653,4982.4,-1,0,0,
6,10:30:00,20230130,570640399,102.71484375,-0.01520970379101867,102.7109375,102.7109375,102.71484375,102.71875,0.00390625,0.00390625,3282,4427.5,0,0,1,
7,10:40:00,20230130,570640399,102.72265625,-0.007604851895509335,102.71875,102.71875,102.72265625,102.7265625,0.00390625,0.00390625,3069,4263.85714285714,0,0,1,
8,10:50:00,20230130,570640399,102.73046875,0,102.72265625,102.72265625,102.73046875,102.734375,0.00390625,0.00390625,3368,4114.5,0,0,1,
9,11:00:00,20230130,570640399,102.7265625,-0.0038024259477546676,102.7265625,102.7265625,102.72265625,102.7265625,0.00390625,0.00390625,3512,4031.55555555556,0,0,0,
10,11:10:00,20230130,570640399,102.71875,-0.011407277843264002,102.72265625,102.72265625,102.71875,102.72265625,0.00390625,0.00390625,1402,3979.6,-1,0,-1,
11,11:20:00,20230130,570640399,102.71875,-0.011407277843264002,102.71875,102.71875,102.71875,102.72265625,0.00390625,0.00390625,2605,3745.27272727273,0,0,0,
12,11:30:00,20230130,570640399,102.7265625,-0.0038024259477546676,102.71875,102.71875,102.72265625,102.7265625,0.00390625,0.00390625,1055,3650.25,-1,0,1,
13,11:40:00,20230130,570640399,102.73046875,0,102.7265625,102.7265625,102.73046875,102.734375,0.00390625,0.00390625,1870,3450.61538461538,0,0,1,
14,11:50:00,20230130,570640399,102.7265625,-0.0038024259477546676,102.7265625,102.7265625,102.7265625,102.73046875,0.00390625,0.00390625,2797,3337.71428571428,0,0,0,
15,12:00:00,20230130,570640399,102.734375,0.0038024259477546676,102.73046875,102.73046875,102.73046875,102.734375,0.00390625,0.00390625,894,3301.66666666666,-1,0,1,
16,12:10:00,20230130,570640399,102.73828125,0.007604851895509335,102.73046875,102.73046875,102.734375,102.73828125,0.00390625,0.00390625,3057,3151.18749999999,0,0,1,
17,12:20:00,20230130,570640399,102.74609375,0.01520970379101867,102.7421875,102.7421875,102.74609375,102.75,0.00390625,0.00390625,4983,3145.64705882352,1,0,1,
18,12:30:00,20230130,570640399,102.74609375,0.01520970379101867,102.74609375,102.74609375,102.74609375,102.75,0.00390625,0.00390625,3232,3247.72222222221,0,0,0,
19,12:40:00,20230130,570640399,102.74609375,0.01520970379101867,102.74609375,102.74609375,102.74609375,102.75,0.00390625,0.00390625,1203,3246.89473684209,-1,0,0,
