N-term, time, date, conId, Current Price, Changes in Price (%), Time Average Bid, Time Average Ask, Last Bid Price, Last Ask Price, Bid-Ask Spread, Average Bid-Ask Spread, Current Volume, Average Volume, Volume Condition, Bid-Ask Spread Condition, Last Traded Condition, Order
0,09:30:00,20230130,181764593,730,0.5454244945182134,724.659,729.066,729.72,733.75,4.029999999999973,0,3567,0,1,-1,1,
1,09:40:00,20230130,181764593,737.71,1.6073494573301847,731.836,735.003,735.19,738,2.8099999999999454,4.029999999999973,5419,3567,1,0,1,
2,09:50:00,20230130,181764593,734.08,1.1073770040218276,734.335,736.581,733.37,735.56,2.189999999999941,3.419999999999959,2507,4493,0,0,-1,
3,10:00:00,20230130,181764593,734.62,1.1817530714561237,734.62,736.954,734.23,736.25,2.019999999999982,3.009999999999953,3845,3831,0,0,0,
4,10:10:00,20230130,181764593,732.86,0.9393421850035879,733.145,735.383,731.92,734.02,2.1000000000000227,2.76249999999996,4127,3834.5,0,0,-1,
5,10:20:00,20230130,181764593,730.55,0.621177896534625,731.805,733.807,730.18,732.69,2.5100000000001046,2.6299999999999724,6803,3893,1,0,-1,
6,10:30:00,20230130,181764593,726.89,0.1170734394799216,727.521,729.349,726.5,727.66,1.1599999999999682,2.6099999999999945,1491,4378,-1,1,-1,
7,10:40:00,20230130,181764593,724.8,-0.17078948818247056,724.858,727.081,724.64,726.67,2.0299999999999727,2.4028571428571337,800,3965.57142857143,-1,0,-1,
8,10:50:00,20230130,181764593,724.91,-0.1556388077791851,724.586,725.96,725.78,727.02,1.240000000000009,2.3562499999999886,1457,3569.875,-1,0,0,
9,11:00:00,20230130,181764593,725.97,-0.009641342074808046,725.094,726.762,725.19,727.2,2.009999999999991,2.2322222222222132,1500,3335.11111111111,-1,0,0,
10,11:10:00,20230130,181764593,729.23,0.4393697316952309,727.667,729.448,727.92,730.08,2.160000000000082,2.209999999999991,3086,3151.6,0,0,0,
11,11:20:00,20230130,181764593,729.02,0.41044570547077547,727.661,729.573,727.86,729.59,1.7300000000000182,2.2054545454545447,901,3145.63636363636,-1,0,0,
12,11:30:00,20230130,181764593,728.76,0.37463500633574287,728.723,729.899,728.09,729.43,1.3399999999999181,2.1658333333333344,3000,2958.58333333333,0,0,0,
13,11:40:00,20230130,181764593,727.73,0.2327695443777278,727.95,729.6,726.85,728.6,1.75,2.102307692307687,800,2961.76923076923,-1,0,-1,
14,11:50:00,20230130,181764593,728.81,0.38152167924632,727.497,728.819,728.09,730.02,1.92999999999995,2.077142857142852,1200,2807.35714285714,-1,0,0,
15,12:00:00,20230130,181764593,727.77,0.2382788827061895,727.553,729.371,727.6,729.83,2.230000000000018,2.067333333333325,731,2700.2,-1,0,0,
16,12:10:00,20230130,181764593,728.07,0.27959892016969956,727.489,729.423,727.18,728.66,1.4800000000000182,2.0774999999999935,100,2577.125,-1,0,0,
17,12:20:00,20230130,181764593,727.98,0.26720290893064497,727.461,728.457,727.7,729.43,1.7299999999999045,2.0423529411764654,722,2431.41176470588,-1,0,0,
18,12:30:00,20230130,181764593,727.39,0.185940168585756,727.666,729.477,727.45,729.41,1.9599999999999227,2.0249999999999897,100,2336.44444444444,-1,0,-1,
19,12:40:00,20230130,181764593,728.39,0.3236736267974248,727.566,729.037,727.59,728.67,1.0799999999999272,2.021578947368407,200,2218.73684210526,-1,0,0,
20,12:50:00,20230130,181764593,727.12,0.14875213486860792,726.735,728.225,726.72,727.83,1.1100000000000136,1.974499999999983,700,2117.8,-1,0,0,
21,13:00:00,20230130,181764593,725.28,-0.10467742824086704,725.311,726.512,725.42,726.28,0.8600000000000136,1.933333333333318,1649,2050.28571428571,0,1,-1,
22,13:10:00,20230130,181764593,727.19,0.15839347694343164,725.553,726.552,726.61,727.36,0.75,1.8845454545454405,2700,2032.04545454545,0,1,1,
23,13:20:00,20230130,181764593,726.99,0.13084678530109162,726.56,727.562,726,726.87,0.8700000000000045,1.8352173913043344,200,2061.08695652174,-1,1,0,
24,13:30:00,20230130,181764593,725.21,-0.11431877031567507,724.487,725.456,724.64,725.44,0.8000000000000682,1.7949999999999873,1800,1983.54166666667,0,1,0,
25,13:40:00,20230130,181764593,725.34,-0.09641342074815876,724.713,725.489,725.28,725.92,0.6399999999999864,1.7551999999999905,1219,1976.2,0,1,0,
26,13:50:00,20230130,181764593,725.76,-0.0385653682992635,725.089,725.772,725.67,726.99,1.32000000000005,1.7123076923076825,1490,1947.07692307692,0,0,0,
27,14:00:00,20230130,181764593,726.39,0.048206710374087205,726.15,726.945,725.77,726.19,0.42000000000007276,1.6977777777777703,900,1930.14814814814,-1,1,0,
28,14:10:00,20230130,181764593,725.4,-0.08814941325546614,725.161,726.329,724.8,726.11,1.3100000000000591,1.6521428571428525,1171,1893.35714285714,0,0,0,
29,14:20:00,20230130,181764593,725.15,-0.12258277780838334,725.09,726.441,724.8,726.23,1.4300000000000637,1.6403448275862045,423,1868.44827586207,-1,0,0,
30,14:30:00,20230130,181764593,726.03,-0.001377334582115435,725.275,726.565,726.16,727.26,1.1000000000000227,1.633333333333333,300,1820.26666666667,-1,0,0,
31,14:40:00,20230130,181764593,726.01,-0.0041320037463463055,725.448,726.781,725.26,726.27,1.009999999999991,1.616129032258065,401,1771.22580645162,-1,0,0,
32,14:50:00,20230130,181764593,726.88,0.11569610489780616,725.898,726.874,726.93,728.03,1.1000000000000227,1.5971875000000002,705,1728.40625000001,-1,0,1,
33,15:00:00,20230130,181764593,727.49,0.199713514406926,727.118,728.187,727.04,727.9,0.8600000000000136,1.5821212121212131,1600,1697.39393939395,0,0,0,
34,15:10:00,20230130,181764593,727.94,0.26169357060218323,727.161,728.237,727.56,728.57,1.0100000000001046,1.5608823529411777,800,1694.52941176472,-1,0,0,
35,15:20:00,20230130,181764593,727.24,0.1652801498540088,727.076,728.146,726.59,728.04,1.4499999999999318,1.5451428571428614,1600,1668.97142857144,0,0,0,
36,15:30:00,20230130,181764593,728.25,0.30439094264779304,727.289,728.277,727.85,728.83,0.9800000000000182,1.5425000000000022,1690,1667.05555555557,0,0,0,
37,15:40:00,20230130,181764593,725.48,-0.077130736598527,725.703,726.789,724.83,726.65,1.8199999999999363,1.5272972972972998,1000,1667.67567567569,0,0,-1,
38,15:50:00,20230130,181764593,724.49,-0.21348686022808036,724.327,725.23,724.21,724.86,0.6499999999999773,1.5350000000000008,9145,1650.10526315791,1,1,0,
